estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
RJ,330010,ANGRA DOS REIS,2661,3827302,159470.91666666666,70.32065769569473,69.08778598949047,110.9168043006574,24,0,69.52678414193602,7.8868329989550565,4.255992554574962
RJ,330015,APERIBE,74,242299,10095.791666666666,30.77852776848935,29.093617510604606,66.30566913471102,24,0,30.540778129501152,4.31748811353631,3.4512812524259076
RJ,330020,ARARUAMA,1159,2709360,112890.0,43.103813707372744,41.81202905914432,61.636186967934684,24,0,42.777630141435615,7.05617528410041,3.779122959552273
RJ,330022,AREAL,78,271160,11298.333333333334,29.7130373313273,21.136109280849947,119.49810794662419,21,3,28.76530461720018,4.3694478524670215,3.393343440626568
RJ,330023,ARMACAO DOS BUZIOS,417,721104,30046.0,60.40668768027948,53.70221860533242,106.71323244082265,24,0,57.82799707115756,6.035481432524756,4.074617882251529
RJ,330025,ARRAIAL DO CABO,437,677602,28233.416666666668,64.00370916431046,64.7260618365768,109.68253001035889,24,0,64.49213550137101,6.082218910376446,4.181930066751026
RJ,330030,BARRA DO PIRAI,754,2238328,93263.66666666667,33.73805504380989,33.59924661999037,51.62101199627431,24,0,33.685858372856885,6.626717749249025,3.546332064198824
RJ,330040,BARRA MANSA,1467,4185415,174392.29166666666,35.04642801237562,36.72496781315343,50.503021572824785,24,0,35.05028772535101,7.291656209174461,3.58491484498485
RJ,330045,BELFORD ROXO,7931,11274046,469751.9166666667,70.74959238247278,67.14329593893552,105.11163927292203,24,0,70.34741564829521,8.978660489639687,4.2675611225001475
RJ,330050,BOM JARDIM,144,621399,25891.625,23.51249579856763,22.650966606444683,42.69125683060109,24,0,23.173516532855704,4.976733742420574,3.185257675769072
RJ,330060,BOM JESUS DO ITABAPOANA,510,842855,35118.958333333336,60.81256777594942,55.32421822062565,147.73188111928624,24,0,60.50862841176715,6.236369590203704,4.119177464349763
RJ,330070,CABO FRIO,2862,4506793,187783.04166666666,64.01833146475651,63.025834078668396,83.84496794958483,24,0,63.504136977225265,7.959625305098115,4.166729360926684
RJ,330080,CACHOEIRAS DE MACACU,428,1303167,54298.625,32.70804698033145,33.00126690876828,65.08632502055357,23,1,32.84306616112901,6.061456918928017,3.521734138231777
RJ,330090,CAMBUCI,99,354021,14750.875,27.959909955844367,27.11226300786094,60.84369929691726,24,0,27.96444278729228,4.605170185988092,3.366068966914634
RJ,330093,CARAPEBUS,49,11088911,462037.9583333333,0.43696198741236597,0.4179665551156677,1.253892290652233,19,5,0.44188288642590784,3.912023005428146,0.36594981949375466
RJ,330095,COMENDADOR LEVY GASPARIAN,87,473095,19712.291666666668,18.35879440269554,15.342142488065235,50.426100549644495,23,1,18.389541212652848,4.477336814478207,2.9647338079459
RJ,330100,CAMPOS DOS GOYTACAZES,6999,11044343,460180.9583333333,62.481171645159236,56.7647516226327,110.96010425460155,24,0,63.371809441267814,8.85366542803745,4.164675795678266
RJ,330110,CANTAGALO,174,306082,12753.416666666666,56.69602243161062,43.05144062274768,133.97430845614312,23,1,56.847511451179756,5.1647859739235145,4.057810435448725
