estado,origem,destino
RJ,330450,330620
RJ,330450,330370
RJ,330450,330610
RJ,330452,330240
RJ,330452,330130
RJ,330455,330320
RJ,330455,330555
RJ,330455,330350
RJ,330455,330510
RJ,330455,330170
RJ,330455,330285
RJ,330455,330200
RJ,330460,330590
RJ,330460,330480
RJ,330460,330530
RJ,330460,330140
RJ,330460,330100
RJ,330470,330015
RJ,330470,330513
RJ,330470,330210
RJ,330470,330090
RJ,330470,330300
RJ,330470,330110
RJ,330475,330100
RJ,330475,330500
RJ,330480,330460
RJ,330480,330530
RJ,330480,330210
RJ,330480,330090
RJ,330480,330100
RJ,330480,330205
RJ,330480,330115
RJ,330490,330270
RJ,330490,330190
RJ,330490,330330
RJ,330500,330100
RJ,330500,330475
RJ,330510,330170
RJ,330510,330045
RJ,330510,330285
RJ,330510,330455
RJ,330510,330320
RJ,330513,330470
RJ,330513,330090
RJ,330513,330220
RJ,330513,330300
RJ,330515,330022
RJ,330515,330540
RJ,330515,330390
RJ,330515,330600
RJ,330515,330570
RJ,330515,330580
RJ,330520,330020
RJ,330520,330025
RJ,330520,330187
RJ,330520,330070
RJ,330530,330460
RJ,330530,330590
RJ,330530,330210
RJ,330530,330245
RJ,330530,330480
RJ,330530,330110
RJ,330540,330515
RJ,330540,330600
RJ,330540,330570
RJ,330540,330120
RJ,330550,330020
RJ,330550,330270
RJ,330550,330430
RJ,330550,330575
RJ,330555,330350
RJ,330555,330455
RJ,330555,330414
RJ,330555,330227
RJ,330555,330200
RJ,330555,330360
RJ,330560,330020
RJ,330560,330080
RJ,330560,330340
RJ,330560,330130
RJ,330560,330430
RJ,330570,330515
RJ,330570,330120
RJ,330570,330340
RJ,330570,330540
RJ,330570,330160
RJ,330570,330580
RJ,330575,330080
RJ,330575,330550
RJ,330575,330190
RJ,330575,330270
RJ,330575,330430
RJ,330580,330080
RJ,330580,330515
RJ,330580,330340
RJ,330580,330570
RJ,330580,330390
RJ,330580,330185
RJ,330590,330050
RJ,330590,330460
RJ,330590,330530
RJ,330590,330240
RJ,330590,330340
RJ,330590,330245
RJ,330590,330140
RJ,330590,330150
RJ,330600,330515
RJ,330600,330540
RJ,330600,330370
RJ,330600,330022
RJ,330600,330095
RJ,330610,330620
RJ,330610,330412
RJ,330610,330030
RJ,330610,330040
RJ,330610,330450
RJ,330615,330060
RJ,330615,330410
RJ,330615,330310
RJ,330620,330290
RJ,330620,330370
RJ,330620,330385
RJ,330620,330180
RJ,330620,330280
RJ,330620,330610
RJ,330620,330030
RJ,330620,330450
RJ,330630,330040
RJ,330630,330400
RJ,330630,330030
RJ,330630,330395
SP,350010,355630
SP,350010,352740
SP,350010,352890
SP,350010,351600
SP,350020,354480
SP,350020,355535
SP,350020,354460
