id,name,description,cod_mun6,municipio_geo,estado,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,gi_z,gi_p,classe_gi,estado_analise,contexto_analise,variavel_analise
3523503,Itatinga,Itatinga,352350,ITATINGA,SP,ITATINGA,110,430318,17929.916666666668,24.613015515714427,11.229137912740462,109.10224438902742,20,4,25.56249099503158,4.709530201312334,3.2795001076740022,-0.1694992490864941,0.409,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3523602,Itirapina,Itirapina,352360,ITIRAPINA,SP,ITIRAPINA,607,365764,15240.166666666666,161.76582720076382,164.2158434145885,345.57788301548703,24,0,165.95400312769982,6.410174881966167,5.117718344105788,-0.015760067158670992,0.101,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3523701,Itirapuã,Itirapuã,352370,ITIRAPUA,SP,ITIRAPUA,8,138612,5775.5,5.705860057912365,0.0,85.91065292096219,4,20,5.771506074510143,2.1972245773362196,1.9127235251829808,-0.4601353452968967,0.006,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3523800,Itobi,Itobi,352380,ITOBI,SP,ITOBI,12,185207,7716.958333333333,6.4585730573364515,0.0,38.50102669404517,8,16,6.479236745911332,2.5649493574615367,2.012130747463354,-0.13851573029038758,0.334,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3523909,Itu,Itu,352390,ITU,SP,ITU,1197,3741020,155875.83333333334,32.004223756584004,31.884308040810772,42.29378135573445,24,0,31.996621242334978,7.088408778675395,3.496405169628705,-0.0675392336780018,0.431,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524006,Itupeva,Itupeva,352400,ITUPEVA,SP,ITUPEVA,212,1196828,49867.833333333336,17.871713432944322,16.224573211041466,42.21085563887372,23,1,17.71348932344497,5.3612921657094255,2.9292446180045735,-0.14494708162138634,0.489,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524105,Ituverava,Ituverava,352410,ITUVERAVA,SP,ITUVERAVA,175,909359,37889.958333333336,19.12993824655757,17.090831242496478,41.45077720207254,20,4,19.244324848602147,5.170483995038151,3.0078744998839304,-0.3846799466666458,0.001,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524204,Jaborandi,Jaborandi,352420,JABORANDI,SP,JABORANDI,12,154381,6432.541666666667,7.8817369295637585,0.0,62.76478895339715,9,15,7.772977244609117,2.5649493574615367,2.1716762293447656,-0.2327284247675303,0.422,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524303,Jaboticabal,Jaboticabal,352430,JABOTICABAL,SP,JABOTICABAL,375,1704343,71014.29166666667,22.10252341760945,21.385773140383563,52.75652862041678,24,0,22.002613323726504,5.929589143389895,3.135607832245289,-0.19598099920101628,0.291,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524402,Jacareí,Jacareí,352440,JACAREI,SP,JACAREI,1659,5235646,218151.91666666666,32.01290666300014,31.210856660964666,48.29284782923649,24,0,31.686634275884963,7.414572881350589,3.4869662566066473,-0.2099549666325146,0.235,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524501,Jaci,Jaci,352450,JACI,SP,JACI,37,144883,6036.791666666667,24.205673792778455,24.458282932365638,70.7088562842496,15,9,25.537847780622986,3.6375861597263857,3.2785719321954274,-0.26241828274799234,0.11,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524600,Jacupiranga,Jacupiranga,352460,JACUPIRANGA,SP,JACUPIRANGA,96,402957,16789.875,23.879823742018676,23.57468465238361,48.87585532746823,24,0,23.823881952664927,4.574710978503383,3.211806171763556,0.26680381793710484,0.136,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
