estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
RJ,330130,CASIMIRO DE ABREU,273,200352,8348.0,136.43249249570965,110.05844194666984,401.2539184952978,24,0,136.26018207954002,5.613128106388071,4.921878264009844,136.26018207954002,134.9864324769896,128.4464197187615,-5.734442917606956
RJ,330455,RIO DE JANEIRO,196776,149424025,6226001.041666667,131.82125884488292,129.89395181795388,153.79684043891226,24,0,131.68966637058531,12.18982638685177,4.888013066192824,131.68966637058531,131.6880883920996,131.68689397856122,-0.0021052464483409055
RJ,330227,JAPERI,2727,2251014,93792.25,121.15914690880906,104.02584702980052,288.7316361785634,24,0,121.14540380468534,7.911324018963353,4.805212169527013,121.14540380468534,121.06841968032668,120.77683769225403,-0.30423449908634137
RJ,330360,PARACAMBI,1190,1053975,43915.625,111.618833620592,113.61499195368964,244.0370087428911,24,0,112.9059038402239,7.0825485693553,4.735372702649982,112.9059038402239,112.78772137453338,112.62522596810697,-0.248594504423896
RJ,330330,NITEROI,12962,11576382,482349.25,112.49284674193692,100.8548192858137,198.1877504392152,24,0,111.96935277360406,9.469854424600042,4.727116567534181,111.96935277360406,111.95901409307275,111.92798400903085,-0.036946506832858286
RJ,330170,DUQUE DE CAXIAS,22001,19841999,826749.9583333334,110.97354471982958,114.59413589514789,149.53963247219278,24,0,110.88096516888244,9.99888863729938,4.717435495118879,110.88096516888243,110.87525472038936,110.8889206007959,0.007174749878264524
RJ,330320,NILOPOLIS,3747,3683170,153465.41666666666,101.41503807685694,92.17262506664017,176.11105355847923,24,0,101.7330180252337,8.228977643358313,4.632133565023388,101.7330180252337,101.71688769342053,102.22388971687292,0.4825097113677082
RJ,330350,NOVA IGUACU,18868,18916375,788182.2916666666,99.86404630762031,94.15970456534752,165.3574767556705,24,0,99.74426918476716,9.845275642787714,4.612585317668204,99.74426918476716,99.74174294759317,99.77524921773077,0.031059461577911972
RJ,330510,SAO JOAO DE MERITI,9864,10853509,452229.5416666667,90.8330166218551,89.5242349605081,104.6497177727924,24,0,90.88304989658184,9.196748418456716,4.520516571616754,90.88304989658184,90.88345002588652,90.98896261848748,0.1165373763602345
RJ,330250,MAGE,4510,5387978,224499.0833333333,83.71028919423229,84.80552244248196,127.38488256834135,24,0,83.70487036138604,8.414274137408396,4.439173101319937,83.70487036138604,83.71350757394929,83.72015427049364,0.018259282932532116
RJ,330414,QUEIMADOS,2636,3272183,136340.95833333334,81.26755607305833,78.40995382991116,139.9641691726918,23,1,80.55784166105624,7.877397186353287,4.401312482151785,80.55784166105624,80.5777033149924,80.769331290002,0.2625313992839952
RJ,330285,MESQUITA,3155,4038670,168277.91666666666,78.00610383446785,80.6221063439064,114.8112491105118,23,1,78.11977705531771,8.057060681965766,4.37096286950611,78.11977705531771,78.13942213071928,78.46821888006154,0.4460353547823022
RJ,330045,BELFORD ROXO,7931,11274046,469751.9166666667,70.74959238247278,67.14329593893552,105.11163927292203,24,0,70.34741564829521,8.978660489639687,4.267561122500148,70.34741564829521,70.3585145689342,70.44753150191525,0.1423163206457684
