cod_mun6,municipio,incidencia_periodo_100mil_pessoa_ano,casos_acumulados,gi_z,gi_p
350470,BALBINOS,844.8204917189589,657,4.741942411493327,0.045
352650,LAVINIA,617.9976874925242,1240,2.780874028385192,0.015
353490,PACAEMBU,311.9730698758804,1025,3.4823434970903966,0.001
352160,IRAPURU,242.38034211845988,435,1.8360749318017515,0.028
353010,MIRANDOPOLIS,214.61445394908836,1412,2.3241696822573417,0.003
355140,SERRA AZUL,190.8158985539556,505,0.1247687841099207,0.036
353890,PIRAJUI,170.4209491599471,905,1.6929377491580806,0.003
351600,FLORIDA PAULISTA,169.12225549398622,510,2.032120846660942,0.003
355630,VALPARAISO,153.1803512737764,824,1.6148804394067524,0.01
350910,CAIUA,146.56200317965025,177,1.1614504347521106,0.048
355100,SAO VICENTE,138.58747693345288,10862,1.0285864160557014,0.031
354850,SANTOS,109.7936316714156,11055,0.8841577490396078,0.04
354100,PRAIA GRANDE,101.08477587558612,6782,1.4890992328876718,0.037
352740,LUCELIA,89.19491525423729,421,0.7476469235993786,0.048
352040,ILHABELA,40.876004213372745,286,0.1052609044234472,0.001
353550,PARAGUACU PAULISTA,38.82791988975285,386,1.1306985329328143,0.022
354150,PRESIDENTE VENCESLAU,36.492062129148,323,0.8392843090514518,0.03
354770,SANTO ANASTACIO,33.54030674521042,158,0.958505590698332,0.026
351840,GUARATINGUETA,30.665824801825337,831,0.7743853630560636,0.048
354470,SAGRES,29.102612387441365,17,1.1910821310322426,0.025
350280,ARACATUBA,28.552242436284978,1276,1.0510794716268248,0.012
353800,PINDAMONHANGABA,25.31123782800653,910,0.86343871154289,0.034
354130,PRESIDENTE EPITACIO,24.57961626881425,238,1.1076435658721415,0.021
355660,VERA CRUZ,21.57082682940221,55,0.7166426709336966,0.037
355590,URU,18.815265452036755,6,2.715988508275393,0.001
352580,JULIO MESQUITA,18.32261299748305,19,0.7117884040190172,0.049
352790,LUTECIA,18.304960644334617,12,1.1058511456538684,0.021
353740,PEREIRA BARRETO,17.89249983542276,106,0.981749364904141,0.021
351580,FLORA RICA,16.828945786753216,7,1.289902585404711,0.018
350010,ADAMANTINA,15.755763678201353,129,0.8193618721858736,0.035
354200,QUINTANA,15.28930014890449,23,1.2438222069841771,0.022
354170,QUATA,13.75344654821238,42,1.3268543010721463,0.017
351810,GUARANTA,13.664669022195328,21,1.0082992119565009,0.036
353020,MIRANTE DO PARANAPANEMA,12.878267544745668,51,0.950762287797796,0.032
354110,PRESIDENTE ALVES,12.354067576749646,12,0.7303123270310943,0.033
351780,GUARACAI,12.246147566078172,24,0.9038513656921692,0.041
353830,PIQUEROBI,12.146535807987563,10,0.7145188840358206,0.042
352080,INUBIA PAULISTA,11.675832194939694,10,1.1699946451776777,0.03
354860,SAO BENTO DO SAPUCAI,11.100351000754058,29,1.1252904183560128,0.037
352890,MARIAPOLIS,11.077141211396162,10,1.229617076785411,0.016
353715,PEDRINHAS PAULISTA,8.684324793747287,6,0.8215640561532959,0.045
