TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"350410 ATIBAIA";39;31;37;34;34;21;14;27;37;35;34;26;16;28;40;42;49;47;36;35;41;57;54;52;866
"350420 AURIFLAMA";3;3;3;5;3;3;3;4;3;-;2;2;3;1;1;2;3;3;1;1;3;2;1;1;56
"350430 AVAI";1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;5
"350440 AVANHANDAVA";7;5;1;-;7;10;16;19;19;13;11;26;28;16;7;14;25;12;14;9;12;8;11;16;306
"350450 AVARE";33;32;32;25;28;38;39;43;25;30;30;37;38;28;20;22;21;24;35;23;28;28;42;31;732
"350460 BADY BASSITT";2;1;2;-;1;-;-;-;1;3;1;3;2;-;6;4;5;5;3;1;7;13;10;10;80
"350470 BALBINOS";-;-;-;-;1;4;10;17;37;21;33;24;39;43;36;55;74;64;35;27;31;31;39;36;657
"350480 BALSAMO";-;3;2;-;2;1;2;-;2;-;1;1;3;1;-;-;1;-;1;-;2;-;2;2;26
"350490 BANANAL";5;5;14;11;15;-;-;6;8;1;1;-;1;4;5;9;5;15;14;2;1;14;9;6;151
"350500 BARAO DE ANTONINA";2;-;-;-;1;-;-;-;2;1;-;-;1;-;-;-;-;1;-;2;-;1;3;1;15
"350510 BARBOSA";-;4;5;3;1;3;1;2;1;1;2;2;1;5;-;-;-;1;3;-;-;1;-;1;37
"350520 BARIRI";5;6;8;5;2;2;2;2;4;2;3;3;3;4;5;3;3;4;9;8;5;10;7;14;119
"350530 BARRA BONITA";10;17;13;9;6;8;15;4;8;7;9;9;8;9;4;-;7;7;8;7;10;12;13;6;206
"350535 BARRA DO CHAPEU";1;2;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;10
"350540 BARRA DO TURVO";3;-;2;5;3;4;2;3;1;3;-;-;-;2;-;1;3;1;1;-;2;1;3;-;40
"350550 BARRETOS";27;24;35;41;38;40;48;34;40;46;43;36;56;31;29;36;26;39;26;31;33;40;46;65;910
"350560 BARRINHA";6;4;3;9;3;5;-;11;6;2;5;6;8;3;9;3;13;11;7;9;6;7;9;14;159
"350570 BARUERI";159;128;122;94;119;111;97;109;113;126;132;108;117;104;120;120;127;119;122;120;125;168;130;174;2964
"350580 BASTOS";3;1;1;5;-;2;4;5;4;1;1;2;1;1;1;4;4;3;2;2;6;4;6;11;74
"350590 BATATAIS";9;17;7;11;11;6;4;1;3;2;4;7;2;2;3;2;7;8;7;3;5;6;8;13;148
"350600 BAURU";139;132;146;117;143;129;148;172;159;166;206;188;274;228;240;252;260;282;229;204;239;236;251;268;4808
"350610 BEBEDOURO";19;19;21;16;13;26;22;14;28;14;22;25;22;23;22;27;27;30;22;17;15;15;24;11;494
"350620 BENTO DE ABREU";1;-;1;1;-;1;-;3;-;1;-;-;2;-;-;1;-;-;-;1;1;-;2;1;16
"350630 BERNARDINO DE CAMPOS";2;4;2;-;3;1;2;4;4;2;1;2;2;8;15;21;28;13;23;11;7;9;14;11;189
"350635 BERTIOGA";32;26;38;35;32;32;27;29;26;30;33;33;26;32;40;34;48;45;59;48;40;48;107;118;1018
"350640 BILAC";-;1;1;-;-;3;-;-;-;-;1;-;3;-;-;1;-;-;-;1;1;1;-;-;13
"350650 BIRIGUI";22;35;43;31;44;31;25;30;16;24;30;28;19;26;16;16;25;23;19;25;27;24;28;24;631
"350660 BIRITIBA MIRIM";3;4;1;4;7;2;7;4;6;2;4;12;6;11;9;14;10;7;8;6;14;9;10;12;172
"350670 BOA ESPERANCA DO SUL";3;2;3;3;2;1;1;8;3;3;-;5;2;2;3;2;7;6;9;4;6;6;3;5;89
"350680 BOCAINA";3;5;2;-;1;3;3;2;1;2;2;-;6;3;3;1;2;3;1;4;3;-;2;3;55
"350690 BOFETE";3;3;6;-;1;5;2;1;1;1;1;1;2;1;1;1;2;3;3;2;-;2;3;4;49
"350700 BOITUVA";6;15;9;11;10;7;5;16;7;9;15;9;8;11;7;10;13;5;15;7;15;12;9;14;245
"350710 BOM JESUS DOS PERDOES";5;1;10;5;2;4;8;6;2;4;2;1;2;7;4;2;3;-;3;1;2;3;7;3;87
"350715 BOM SUCESSO DE ITARARE";1;1;-;-;-;1;2;-;1;2;-;-;-;-;-;-;1;-;1;1;-;2;1;-;14
"350720 BORA";-;-;-;1;136;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;142
"350730 BORACEIA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;1;8
"350740 BORBOREMA";2;2;2;5;2;-;2;2;2;-;1;1;2;2;4;2;1;1;1;4;2;5;3;5;53
"350745 BOREBI";-;1;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;1;-;2;2;-;-;10
"350750 BOTUCATU";20;24;31;14;28;32;38;45;32;54;53;63;75;84;55;59;42;67;24;29;28;38;45;53;1033
"350760 BRAGANCA PAULISTA";66;82;59;54;45;53;48;44;44;28;41;41;41;57;58;58;38;64;45;38;37;36;38;48;1163
"350770 BRAUNA";-;1;2;-;-;1;-;-;-;2;1;1;-;-;1;-;-;-;-;1;1;1;3;1;16
"350775 BREJO ALEGRE";4;-;1;-;-;2;-;1;-;-;1;-;-;1;-;2;1;-;2;-;-;-;2;1;18
"350780 BRODOWSKI";-;5;3;3;4;-;-;1;1;2;1;2;2;1;2;3;4;3;7;2;6;8;7;1;68
"350790 BROTAS";3;3;3;2;3;-;3;3;2;3;1;3;2;2;1;4;3;2;1;2;2;2;4;-;54
"350800 BURI";2;1;2;4;2;5;-;4;2;5;4;3;4;5;2;3;1;2;7;7;5;6;8;5;89
"350810 BURITAMA";9;3;3;4;2;2;1;3;1;1;1;3;-;3;5;5;4;4;2;6;4;7;2;10;85
"350820 BURITIZAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"350830 CABRALIA PAULISTA";1;-;-;1;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;2;9
"350840 CABREUVA";5;4;14;15;6;7;8;9;8;6;9;13;10;7;7;11;12;16;18;8;8;23;18;17;259
"350850 CACAPAVA";29;34;27;26;30;24;24;21;29;33;42;29;36;24;36;20;19;26;25;18;16;28;19;26;641
"350860 CACHOEIRA PAULISTA";10;5;13;4;10;7;5;4;6;2;8;16;9;6;5;6;2;4;10;6;5;7;12;30;192
"350870 CACONDE";5;3;1;5;2;2;2;2;3;4;2;1;-;1;4;3;3;1;1;2;4;-;1;2;54
"350880 CAFELANDIA";7;4;3;4;7;-;-;3;2;-;3;2;1;1;2;1;1;3;4;2;2;5;1;2;60
"350890 CAIABU";1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350900 CAIEIRAS";36;24;23;34;21;29;27;27;19;17;20;19;11;23;18;31;33;23;24;24;35;43;43;44;648
"350910 CAIUA";-;4;-;1;1;3;2;3;14;6;8;-;4;9;10;9;6;12;5;18;10;14;23;15;177
"350920 CAJAMAR";24;16;20;33;25;11;15;17;9;11;21;26;29;14;12;20;23;12;16;29;33;31;22;35;504
"350925 CAJATI";13;8;9;3;10;10;4;2;12;10;11;3;7;10;9;15;23;16;19;21;16;26;15;11;283
"350930 CAJOBI";5;-;-;1;-;1;-;1;-;-;1;-;2;1;-;-;1;-;1;2;-;-;2;1;19
"350940 CAJURU";1;4;2;-;-;2;-;4;-;-;-;-;-;-;-;-;6;-;5;5;5;4;5;18;61
"350945 CAMPINA DO MONTE ALEGRE";1;-;-;-;-;-;-;-;3;-;3;-;3;-;-;1;-;-;1;-;1;3;5;1;22
"350950 CAMPINAS";649;620;565;501;517;351;442;459;481;433;443;526;478;544;547;472;442;554;394;387;396;483;449;457;11590
"350960 CAMPO LIMPO PAULISTA";16;14;35;25;20;26;30;36;22;23;18;14;12;13;13;15;22;14;29;11;23;30;20;30;511
"350970 CAMPOS DO JORDAO";768;747;540;441;424;206;112;66;19;8;10;13;5;8;8;8;5;15;8;8;7;14;9;9;3458
"350980 CAMPOS NOVOS PAULISTA";1;-;1;1;5;-;1;-;-;-;1;1;-;-;-;1;1;-;5;1;-;-;1;1;21
"350990 CANANEIA";6;10;8;5;5;10;5;7;6;13;8;6;4;14;9;4;14;14;16;7;10;10;16;5;212
"350995 CANAS";-;2;2;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;2;1;-;-;-;-;12
"351000 CANDIDO MOTA";9;11;9;13;9;2;5;5;9;2;4;7;3;7;5;1;4;3;3;4;4;8;5;12;144
"351010 CANDIDO RODRIGUES";1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;1;-;-;-;6
"351015 CANITAR";-;-;3;-;-;-;4;3;3;4;3;-;3;1;-;1;3;1;2;2;1;1;-;3;38
"351020 CAPAO BONITO";18;13;10;11;10;12;10;13;11;11;10;17;12;13;15;15;7;14;16;8;21;13;11;21;312
"351030 CAPELA DO ALTO";2;-;3;4;6;5;5;1;2;3;6;1;14;33;42;38;41;30;31;27;31;22;22;25;394
"351040 CAPIVARI";14;9;13;11;8;13;11;12;15;17;11;9;18;8;11;26;13;13;14;20;6;12;26;16;326
"351050 CARAGUATATUBA";78;65;82;76;2;69;79;66;73;77;77;58;59;81;89;98;122;101;110;95;131;120;128;153;2089
"351060 CARAPICUIBA";136;144;173;179;208;184;156;149;168;140;169;156;147;144;164;195;253;207;280;271;259;293;318;310;4803
"351070 CARDOSO";4;3;-;2;1;1;1;1;2;1;3;2;5;3;1;-;4;-;5;1;2;1;5;1;49
"351080 CASA BRANCA";5;15;8;9;14;30;27;18;24;26;29;22;33;24;23;21;21;13;28;27;16;10;18;15;476
"351090 CASSIA DOS COQUEIROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"351100 CASTILHO";6;4;3;3;2;6;4;1;-;2;1;2;3;7;8;4;5;2;12;6;3;6;7;14;111
"351110 CATANDUVA";26;42;23;34;29;22;22;25;23;30;24;24;26;19;20;21;20;25;17;8;17;27;28;31;583
"351120 CATIGUA";-;1;-;-;1;-;1;1;-;1;-;-;-;-;-;-;1;-;1;3;-;3;-;1;14
"351130 CEDRAL";-;2;1;-;-;-;-;1;-;2;1;-;-;-;-;1;2;1;2;1;-;3;2;5;24
"351140 CERQUEIRA CESAR";1;3;4;5;3;6;2;3;1;1;2;4;21;12;27;35;61;24;37;25;14;18;31;24;364
"351150 CERQUILHO";1;3;1;4;3;2;7;6;8;6;8;4;3;10;2;5;8;5;10;3;6;6;6;12;129
"351160 CESARIO LANGE";-;1;1;2;-;3;4;2;-;4;-;5;2;5;3;4;4;3;2;2;2;5;3;3;60
"351170 CHARQUEADA";1;-;-;1;5;-;1;1;2;-;2;3;5;-;1;2;4;3;6;4;6;2;2;4;55
"351190 CLEMENTINA";-;-;-;1;-;1;2;1;1;-;1;-;2;-;-;-;1;1;-;-;-;-;-;-;11
"351200 COLINA";7;3;5;3;3;4;5;6;4;4;3;-;-;2;2;2;4;6;3;1;5;3;4;8;87
"351210 COLOMBIA";-;-;3;-;1;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;1;1;6;2;18
"351220 CONCHAL";5;13;5;14;11;11;9;7;16;14;7;6;6;7;9;2;8;5;12;5;8;10;7;18;215
"351230 CONCHAS";7;5;10;8;4;13;4;6;4;4;8;4;4;7;3;2;8;3;2;4;4;6;8;5;133
"351240 CORDEIROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;4;1;9;6;9;1;3;2;3;4;9;7;59
"351250 COROADOS";1;1;-;-;2;-;1;-;2;2;-;-;2;1;2;-;1;2;1;-;-;1;-;2;21
"351260 CORONEL MACEDO";4;-;2;1;2;-;-;-;-;-;1;-;-;1;2;-;2;2;4;1;1;1;1;-;25
"351270 CORUMBATAI";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;2;-;1;-;-;7
"351280 COSMOPOLIS";9;10;5;17;11;12;11;15;11;7;8;11;19;11;8;14;36;14;17;8;17;11;21;26;329
"351290 COSMORAMA";-;1;2;1;-;1;4;1;1;-;3;-;-;1;1;1;1;1;2;2;1;1;1;1;27
"351300 COTIA";61;55;66;38;46;51;35;54;37;65;62;55;57;70;80;76;88;84;119;84;66;92;129;137;1707
"351310 CRAVINHOS";-;2;10;3;7;3;4;2;2;1;4;3;3;5;3;3;4;1;8;11;1;7;7;4;98
"351320 CRISTAIS PAULISTA";-;1;-;1;-;-;-;-;-;-;-;2;-;2;-;-;-;1;1;1;-;-;-;-;9
"351330 CRUZALIA";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;1;6
"351340 CRUZEIRO";33;38;43;42;47;57;35;53;43;63;46;45;36;38;29;34;21;45;32;27;48;35;41;31;962
"351350 CUBATAO";152;128;133;144;109;117;110;132;121;148;105;117;108;122;102;119;107;136;152;152;127;115;140;185;3081
"351360 CUNHA";2;3;4;8;1;2;1;4;7;4;4;1;-;-;2;-;5;2;1;-;4;7;2;6;70
"351370 DESCALVADO";2;6;5;2;3;11;3;3;8;5;1;5;1;5;6;7;6;4;3;3;3;8;9;9;118
"351380 DIADEMA";144;156;166;174;130;156;150;140;158;152;162;148;183;184;170;178;190;192;213;175;161;225;275;245;4227
"351385 DIRCE REIS";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;4
"351390 DIVINOLANDIA";1;-;1;1;-;-;2;-;2;-;1;1;-;-;-;2;1;-;1;-;1;1;1;1;17
"351400 DOBRADA";-;1;1;2;2;-;-;1;-;1;-;-;-;-;-;-;-;2;1;1;2;2;1;1;18
"351410 DOIS CORREGOS";11;8;8;4;-;3;2;1;5;2;4;1;1;2;2;1;3;4;2;-;-;-;-;-;64
"351420 DOLCINOPOLIS";1;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;6
"351430 DOURADO";1;2;1;-;-;-;-;1;1;-;-;-;1;-;-;1;1;-;1;1;-;-;1;1;13
"351440 DRACENA";9;8;18;9;6;50;32;29;24;32;33;30;27;38;43;35;48;61;32;29;21;25;29;15;683
"351450 DUARTINA";1;2;-;3;-;2;1;4;-;-;1;1;3;3;3;6;5;8;3;2;7;2;2;1;60
"351460 DUMONT";-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;3;2;3;3;18
"351470 ECHAPORA";3;-;-;1;-;-;3;1;-;2;-;-;-;-;1;-;2;1;2;-;-;-;2;1;19
"351480 ELDORADO";5;6;10;5;3;5;2;5;3;4;3;4;2;3;1;4;5;4;9;2;9;13;9;6;122
"351490 ELIAS FAUSTO";3;1;5;3;2;-;2;2;-;-;3;1;4;2;-;2;5;2;4;4;4;1;7;4;61
"351492 ELISIARIO";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;4
"351495 EMBAUBA";-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351500 EMBU DAS ARTES";90;85;79;74;108;103;87;106;83;98;87;109;133;106;89;96;140;121;118;137;120;122;148;192;2631
"351510 EMBU-GUACU";19;24;32;13;20;15;27;13;15;30;27;28;31;27;40;22;35;37;39;36;37;32;29;34;662
"351512 EMILIANOPOLIS";-;-;-;1;-;-;-;-;1;-;1;-;1;-;2;-;2;-;-;2;-;-;1;-;11
"351515 ENGENHEIRO COELHO";-;1;1;1;-;-;2;1;1;2;1;3;5;5;10;1;4;5;4;5;7;7;7;9;82
"351518 ESPIRITO SANTO DO PINHAL";13;13;10;13;10;5;4;12;6;8;6;4;8;7;14;10;8;9;8;18;14;10;22;15;247
"351519 ESPIRITO SANTO DO TURVO";1;2;-;-;1;-;2;1;-;5;3;4;1;-;-;1;1;1;1;1;1;-;3;2;31
"351520 ESTRELA D'OESTE";2;3;1;3;3;-;-;2;2;-;-;2;-;1;3;-;1;2;1;2;1;2;-;2;33
"351530 ESTRELA DO NORTE";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"351535 EUCLIDES DA CUNHA PAULISTA";1;4;1;-;-;3;4;4;2;2;7;-;3;-;-;1;1;1;-;1;-;-;-;-;35
"351540 FARTURA";4;4;8;4;2;1;3;6;3;4;2;7;2;3;1;2;3;4;3;2;8;7;7;7;97
"351550 FERNANDOPOLIS";10;24;20;17;7;18;11;9;18;17;15;13;18;28;22;14;11;14;15;10;12;18;23;30;394
"351560 FERNANDO PRESTES";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;-;1;1;2;-;1;12
"351565 FERNAO";1;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;2;-;-;-;-;-;-;-;7
"351570 FERRAZ DE VASCONCELOS";110;69;78;80;68;63;63;80;94;70;70;61;81;63;83;67;83;84;85;78;100;79;107;105;1921
"351580 FLORA RICA";1;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;7
"351590 FLOREAL";3;1;-;-;5;-;1;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;14
"351600 FLORIDA PAULISTA";2;1;1;-;2;16;18;27;24;25;16;24;43;57;28;44;34;29;26;19;16;17;22;19;510
"351610 FLORINEA";-;1;1;1;-;1;-;2;-;2;5;-;-;-;1;2;19;23;20;43;34;42;27;23;247
"351620 FRANCA";87;85;52;8;10;69;51;49;52;58;84;68;74;62;70;54;76;58;80;67;94;111;95;107;1621
"351630 FRANCISCO MORATO";51;50;45;68;52;60;53;49;61;51;61;33;49;54;55;40;84;54;80;73;73;81;103;105;1485
"351640 FRANCO DA ROCHA";77;67;69;67;56;110;57;90;86;62;62;111;96;113;141;163;193;136;155;125;101;141;185;207;2670
"351650 GABRIEL MONTEIRO";1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;2;-;-;1;9
"351660 GALIA";-;2;-;-;-;-;-;2;2;-;1;-;-;2;-;1;2;2;1;1;1;6;21;25;69
"351670 GARCA";16;13;18;6;4;10;7;10;7;9;12;9;13;7;11;10;7;6;9;20;13;12;17;22;268
"351680 GASTAO VIDIGAL";-;-;-;-;-;1;-;2;-;4;1;1;1;-;-;-;1;-;1;-;-;1;-;-;13
"351685 GAVIAO PEIXOTO";-;-;3;1;-;-;-;-;1;1;-;-;-;2;-;1;-;-;2;-;-;-;6;-;17
"351690 GENERAL SALGADO";-;3;2;1;1;1;-;1;1;2;2;1;-;-;-;-;-;-;-;5;3;3;3;4;33
"351700 GETULINA";1;5;1;-;5;6;18;18;39;35;25;37;22;32;32;34;42;41;32;21;20;13;10;13;502
"351710 GLICERIO";-;1;-;1;1;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;1;1;-;2;11
"351720 GUAICARA";2;3;-;-;-;1;3;-;-;-;2;1;1;-;-;2;5;2;5;1;1;3;-;5;37
"351730 GUAIMBE";-;2;2;1;-;-;2;-;-;1;-;-;2;3;1;-;-;3;1;5;3;4;1;7;38
"351740 GUAIRA";6;3;2;4;4;2;2;6;11;7;6;2;11;5;5;3;6;3;5;6;13;8;9;13;142
"351750 GUAPIACU";3;1;2;3;4;1;1;4;2;2;3;1;-;1;2;-;1;2;5;2;3;5;14;7;69
"351760 GUAPIARA";-;4;1;3;2;3;2;2;4;2;4;2;3;2;3;3;2;2;2;3;6;4;1;4;64
"351770 GUARA";-;-;-;-;-;-;-;5;4;8;5;4;4;3;-;1;11;5;6;5;4;6;11;14;96
"351780 GUARACAI";-;2;1;2;-;-;2;-;1;-;5;1;-;1;-;1;3;-;-;1;-;-;-;4;24
"351790 GUARACI";-;1;2;-;2;-;-;-;1;2;4;1;5;6;-;1;5;7;6;2;4;2;4;5;60
"351800 GUARANI D'OESTE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351810 GUARANTA";-;-;-;-;2;-;1;-;1;1;-;-;-;4;2;-;1;1;3;-;2;1;2;-;21
"351820 GUARARAPES";6;8;6;3;4;6;3;8;7;5;4;2;2;8;4;6;7;2;3;7;6;11;8;12;138
"351830 GUARAREMA";-;-;-;-;-;-;3;8;-;5;3;3;1;2;7;3;4;6;7;3;8;6;6;13;88
"351840 GUARATINGUETA";34;39;38;42;27;37;31;36;31;31;40;42;38;33;33;35;39;33;32;28;24;40;30;38;831
"351850 GUAREI";-;1;1;1;2;9;16;21;8;26;27;22;31;40;45;44;51;38;22;38;21;28;20;29;541
"351860 GUARIBA";10;8;2;6;7;6;2;1;2;2;1;1;1;25;4;1;3;2;6;7;11;10;8;17;143
"351870 GUARUJA";292;314;338;306;292;300;267;288;218;254;307;285;288;361;429;461;328;558;374;370;404;470;480;447;8431
"351880 GUARULHOS";417;382;375;433;449;435;426;445;416;434;468;427;565;557;561;586;560;644;656;559;539;606;698;799;12437
"351885 GUATAPARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;1;3;8
"351890 GUZOLANDIA";2;2;2;-;-;1;3;-;-;-;1;1;2;1;2;1;1;1;-;2;2;-;-;1;25
